Voltage (V),Current (A)
0.0,-1.996857e-12
0.01,2.147568e-09
0.02,4.304649e-09
0.03,6.464734e-09
0.04,8.632266e-09
0.05,1.082317e-08
0.06,1.301354e-08
0.07,1.519934e-08
0.08,1.740577e-08
0.09,1.961602e-08
0.1,2.183991e-08
0.11,2.406752e-08
0.12,2.627088e-08
0.13,2.85179e-08
0.14,3.075364e-08
0.15,3.29646e-08
0.16,3.527691e-08
0.17,3.754977e-08
0.18,3.982564e-08
0.19,4.214845e-08
0.2,4.450416e-08
0.21,4.6834e-08
0.22,4.909566e-08
0.23,5.140659e-08
0.24,5.376645e-08
0.25,5.61637e-08
0.26,5.85371e-08
0.27,6.090134e-08
0.28,6.327592e-08
0.29,6.566076e-08
0.3,6.80642e-08
0.31,7.048668e-08
0.32,7.295414e-08
0.33,7.543098e-08
0.34,7.7882e-08
0.35000000000000003,8.034329e-08
0.36,8.28343e-08
0.37,8.534146e-08
0.38,8.787428e-08
0.39,9.044831e-08
0.4,9.295632e-08
0.41000000000000003,9.546231e-08
0.42,9.794348e-08
0.43,1.004618e-07
0.44,1.030071e-07
0.45,1.04385e-07
0.46,1.083705e-07
0.47000000000000003,1.10821e-07
0.48,1.134153e-07
0.49,1.159545e-07
0.5,1.18431e-07
0.51,1.211125e-07
0.52,1.235739e-07
0.53,1.261468e-07
0.54,1.287738e-07
0.55,1.314423e-07
0.56,1.341699e-07
0.5700000000000001,1.368401e-07
0.58,1.395356e-07
0.59,1.422622e-07
0.6,1.449519e-07
0.61,1.475697e-07
0.62,1.503728e-07
0.63,1.531607e-07
0.64,1.557902e-07
0.65,1.586869e-07
0.66,1.614257e-07
0.67,1.640964e-07
0.68,1.669855e-07
0.6900000000000001,1.698464e-07
0.7000000000000001,1.726865e-07
0.71,1.755635e-07
0.72,1.783873e-07
0.73,1.811434e-07
0.74,1.841136e-07
0.75,1.869265e-07
0.76,1.898239e-07
0.77,1.926539e-07
0.78,1.955538e-07
0.79,1.985375e-07
0.8,2.015189e-07
0.81,2.044125e-07
0.8200000000000001,2.073545e-07
0.8300000000000001,2.103689e-07
0.84,2.132727e-07
0.85,2.163013e-07
0.86,2.193535e-07
0.87,2.22394e-07
0.88,2.254436e-07
0.89,2.28504e-07
0.9,2.314119e-07
0.91,2.344377e-07
0.92,2.375604e-07
0.93,2.404998e-07
0.9400000000000001,2.436942e-07
0.9500000000000001,2.469382e-07
0.96,2.499476e-07
0.97,2.530766e-07
0.98,2.561076e-07
0.99,2.592949e-07
1.0,2.623194e-07
1.01,2.655568e-07
1.02,2.688187e-07
1.03,2.720696e-07
1.04,2.753692e-07
1.05,2.785949e-07
1.06,2.818726e-07
1.07,2.848602e-07
1.08,2.88047e-07
1.09,2.913294e-07
1.1,2.945305e-07
1.11,2.976616e-07
1.12,3.010122e-07
1.1300000000000001,3.043369e-07
1.1400000000000001,3.07356e-07
1.1500000000000001,3.104976e-07
1.16,3.138894e-07
1.17,3.170869e-07
1.18,3.205392e-07
1.19,3.236891e-07
1.2,3.269572e-07
1.21,3.30238e-07
1.22,3.334985e-07
1.23,3.370671e-07
1.24,3.401561e-07
1.25,3.434282e-07
1.26,3.466945e-07
1.27,3.500611e-07
1.28,3.536286e-07
1.29,3.56986e-07
1.3,3.603798e-07
1.31,3.63344e-07
1.32,3.666205e-07
1.33,3.698915e-07
1.34,3.732285e-07
1.35,3.765175e-07
1.36,3.800866e-07
1.37,3.835457e-07
1.3800000000000001,3.868674e-07
1.3900000000000001,3.901844e-07
1.4000000000000001,3.937865e-07
1.41,3.970452e-07
1.42,4.007778e-07
1.43,4.040971e-07
1.44,4.077037e-07
1.45,4.113546e-07
1.46,4.145655e-07
1.47,4.183423e-07
1.48,4.220908e-07
1.49,4.255434e-07
1.5,4.288607e-07
1.51,4.324609e-07
1.52,4.359376e-07
1.53,4.394148e-07
1.54,4.435189e-07
1.55,4.469326e-07
1.56,4.505191e-07
1.57,4.540092e-07
1.58,4.574215e-07
1.59,4.60659e-07
1.6,4.646907e-07
1.61,4.684809e-07
1.62,4.718892e-07
1.6300000000000001,4.757539e-07
1.6400000000000001,4.79589e-07
1.6500000000000001,4.829686e-07
1.6600000000000001,4.869802e-07
1.67,4.908684e-07
1.68,4.946954e-07
1.69,4.984594e-07
1.7,5.021321e-07
1.71,5.063599e-07
1.72,5.099834e-07
1.73,5.139019e-07
1.74,5.176483e-07
1.75,5.216395e-07
1.76,5.259929e-07
1.77,5.296906e-07
1.78,5.33998e-07
1.79,5.382284e-07
1.8,5.420115e-07
1.81,5.465171e-07
1.82,5.50778e-07
1.83,5.550331e-07
1.84,5.591351e-07
1.85,5.633308e-07
1.86,5.677027e-07
1.87,5.72473e-07
1.8800000000000001,5.765942e-07
1.8900000000000001,5.813935e-07
1.9000000000000001,5.862231e-07
1.9100000000000001,5.897978e-07
1.92,5.953152e-07
1.93,6.017578e-07
1.94,6.074101e-07
1.95,6.132635e-07
1.96,6.177706e-07
1.97,6.228294e-07
1.98,6.268808e-07
1.99,6.31572e-07
2.0,6.36024e-07
2.0100000000000002,6.407824e-07
2.02,6.455473e-07
2.0300000000000002,6.502878e-07
2.04,6.548506e-07
2.05,6.595204e-07
2.06,6.641297e-07
2.07,6.687288e-07
2.08,6.7394e-07
2.09,6.788333e-07
2.1,6.836023e-07
2.11,6.892165e-07
2.12,6.946963e-07
2.13,6.994304e-07
2.14,7.040253e-07
2.15,7.090052e-07
2.16,7.139793e-07
2.17,7.192274e-07
2.18,7.239025e-07
2.19,7.295212e-07
2.2,7.351883e-07
2.21,7.403598e-07
2.22,7.454919e-07
2.23,7.506449e-07
2.24,7.568334e-07
2.25,7.622785e-07
2.2600000000000002,7.674829e-07
2.27,7.725255e-07
2.2800000000000002,7.776054e-07
2.29,7.825701e-07
2.3000000000000003,7.883361e-07
2.31,7.934279e-07
2.32,7.990263e-07
2.33,8.05016e-07
2.34,8.115626e-07
2.35,8.171835e-07
2.36,8.224766e-07
2.37,8.286543e-07
2.38,8.33928e-07
2.39,8.395993e-07
2.4,8.453969e-07
2.41,8.515311e-07
2.42,8.572052e-07
2.43,8.624991e-07
2.44,8.687255e-07
2.45,8.746472e-07
2.46,8.808931e-07
2.47,8.874594e-07
2.48,8.926344e-07
2.49,8.984726e-07
2.5,9.050526e-07
2.5100000000000002,9.102301e-07
2.52,9.164507e-07
2.5300000000000002,9.229484e-07
2.54,9.292572e-07
2.5500000000000003,9.353248e-07
2.56,9.414063e-07
2.57,9.475037e-07
2.58,9.530518e-07
2.59,9.594768e-07
2.6,9.654981e-07
2.61,9.71788e-07
2.62,9.776595e-07
2.63,9.842936e-07
2.64,9.910257e-07
2.65,9.964866e-07
2.66,1.002673e-06
2.67,1.009983e-06
2.68,1.016196e-06
2.69,1.022811e-06
2.7,1.029369e-06
2.71,1.034622e-06
2.72,1.040504e-06
2.73,1.050961e-06
2.74,1.059094e-06
2.75,1.065442e-06
2.7600000000000002,1.070969e-06
2.77,1.077183e-06
2.7800000000000002,1.084124e-06
2.79,1.090533e-06
2.8000000000000003,1.096892e-06
2.81,1.102675e-06
2.82,1.109256e-06
2.83,1.115564e-06
2.84,1.121732e-06
2.85,1.128355e-06
2.86,1.134924e-06
2.87,1.141408e-06
2.88,1.147982e-06
2.89,1.155145e-06
2.9,1.161318e-06
2.91,1.167315e-06
2.92,1.174535e-06
2.93,1.181045e-06
2.94,1.187067e-06
2.95,1.193606e-06
2.96,1.200061e-06
2.97,1.206914e-06
2.98,1.215227e-06
2.99,1.220796e-06
3.0,1.226893e-06
3.0100000000000002,1.233685e-06
3.02,1.23993e-06
3.0300000000000002,1.245671e-06
3.04,1.250212e-06
3.0500000000000003,1.256868e-06
3.06,1.264714e-06
3.0700000000000003,1.27104e-06
3.08,1.276367e-06
3.09,1.282309e-06
3.1,1.289195e-06
3.11,1.295614e-06
3.12,1.301599e-06
3.13,1.307564e-06
3.14,1.314463e-06
